%year month day hour minute sea-level-height flag1 flag2
2004 01 07 06 00 0.289 0.003 0
2004 01 07 07 00 0.227 0.003 0
2004 01 07 08 00 0.131 0.003 0
2004 01 07 09 00 0.038 0.005 0
2004 01 07 10 00 -0.050 0.007 0
2004 01 07 11 00 -0.107 0.004 0
2004 01 07 12 00 -0.100 0.004 0
2004 01 07 13 00 -0.125 0.004 0
2004 01 07 14 00 -0.127 0.003 0
2004 01 07 15 00 -0.106 0.008 0
2004 01 07 16 00 -0.057 0.004 0
2004 01 07 17 00 -0.026 0.005 0
2004 01 07 18 00 0.010 0.003 0
2004 01 07 19 00 0.076 0.003 0
2004 01 07 20 00 0.140 0.005 0
2004 01 07 21 00 0.201 0.009 0
2004 01 07 22 00 0.246 0.004 0
2004 01 07 23 00 0.282 0.004 0
2004 01 08 00 00 0.353 0.009 0
2004 01 08 01 00 0.398 0.003 0
2004 01 08 02 00 0.424 0.005 0
2004 01 08 03 00 0.432 0.004 0
2004 01 08 04 00 0.448 0.002 0
2004 01 08 05 00 0.448 0.003 0
2004 01 08 06 00 0.377 0.004 0
2004 01 08 07 00 0.330 0.002 0
2004 01 08 08 00 0.282 0.005 0
2004 01 08 09 00 0.182 0.001 0
2004 01 08 10 00 0.078 0.004 0
2004 01 08 11 00 0.008 0.003 0
2004 01 08 12 00 -0.027 0.002 0
2004 01 08 13 00 -0.072 0.004 0
2004 01 08 14 00 -0.090 0.003 0
2004 01 08 15 00 -0.105 0.006 0
2004 01 08 16 00 -0.045 0.002 0
2004 01 08 17 00 -0.016 0.005 0
2004 01 08 18 00 0.033 0.004 0
2004 01 08 19 00 0.067 0.002 0
2004 01 08 20 00 0.145 0.005 0
2004 01 08 21 00 0.183 0.003 0
2004 01 08 22 00 0.212 0.005 0
2004 01 08 23 00 0.298 0.009 0
2004 01 09 00 00 0.378 0.007 0
2004 01 09 01 00 0.418 0.004 0
2004 01 09 02 00 0.479 0.002 0
2004 01 09 03 00 0.505 0.003 0
2004 01 09 04 00 0.497 0.001 0
2004 01 09 05 00 0.501 0.002 0
2004 01 09 06 00 0.453 0.004 0
2004 01 09 07 00 0.430 0.002 0
2004 01 09 08 00 0.355 0.007 0
2004 01 09 09 00 0.278 0.005 0
2004 01 09 10 00 0.184 0.003 0
2004 01 09 11 00 0.122 0.002 0
2004 01 09 12 00 0.087 0.003 0
2004 01 09 13 00 0.055 0.007 0
2004 01 09 14 00 0.018 0.007 0
2004 01 09 15 00 -0.029 0.007 0
2004 01 09 16 00 -0.086 0.013 0
2004 01 09 17 00 -0.047 0.005 0
2004 01 09 18 00 0.026 0.002 0
2004 01 09 19 00 0.071 0.003 0
2004 01 09 20 00 0.113 0.002 0
2004 01 09 21 00 0.171 0.004 0
2004 01 09 22 00 0.212 0.004 0
2004 01 09 23 00 0.262 0.003 0
2004 01 10 00 00 0.297 0.004 0
2004 01 10 01 00 0.331 0.004 0
2004 01 10 02 00 0.370 0.003 0
2004 01 10 03 00 0.397 0.002 0
2004 01 10 04 00 0.402 0.004 0
2004 01 10 05 00 0.392 0.003 0
2004 01 10 06 00 0.348 0.002 0
2004 01 10 07 00 0.309 0.004 0
2004 01 10 08 00 0.248 0.004 0
2004 01 10 09 00 0.186 0.003 0
2004 01 10 10 00 0.092 0.003 0
2004 01 10 11 00 0.002 0.003 0
2004 01 10 12 00 -0.052 0.002 0
2004 01 10 13 00 -0.104 0.002 0
2004 01 10 14 00 -0.123 0.005 0
2004 01 10 15 00 -0.168 0.003 0
2004 01 10 16 00 -0.163 0.006 0
2004 01 10 17 00 -0.167 0.004 0
2004 01 10 18 00 -0.105 0.006 0
2004 01 10 19 00 -0.043 0.003 0
2004 01 10 20 00 0.017 0.002 0
2004 01 10 21 00 0.069 0.003 0
2004 01 10 22 00 0.121 0.004 0
2004 01 10 23 00 0.169 0.005 0
2004 01 11 00 00 0.221 0.005 0
2004 01 11 01 00 0.274 0.007 0
2004 01 11 02 00 0.317 0.003 0
2004 01 11 03 00 0.359 0.003 0
2004 01 11 04 00 0.383 0.003 0
2004 01 11 05 00 0.389 0.005 0
2004 01 11 06 00 0.378 0.004 0
2004 01 11 07 00 0.358 0.002 0
2004 01 11 08 00 0.327 0.002 0
2004 01 11 09 00 0.268 0.005 0
2004 01 11 10 00 0.204 0.001 0
